# All CCS calculated at Tbath = 298.0 K
# All CCS calculated on the same Teff grid
Teff(K) \ CCS(A^2) of, AMIFOSTINE_1, AMIFOSTINE_2, AMIFOSTINE_3, AMIFOSTINE_4, AZAMETHIPHOS_1, AZAMETHIPHOS_2, AZAMETHIPHOS_3, AZAMETHIPHOS_4, AZAMETHIPHOS_5, AZAMETHIPHOS_6, BENTHIAVALICARB_1, BENTHIAVALICARB_2, BENTHIAVALICARB_3, BENTHIAVALICARB_4, BENTHIAVALICARB_5, BENTHIAVALICARB_6, BROMCHLORBUTEROL_R_1, BROMCHLORBUTEROL_R_2, BROMCHLORBUTEROL_R_3, BROMCHLORBUTEROL_R_4
 298.00              , 146.27, 140.15, 139.23, 139.39, 158.63, 158.2, 159.45, 159.06, 160.0, 159.6, 181.66, 173.99, 177.13, 176.43, 172.5, 179.02, 158.78, 163.46, 166.95, 160.53
 348.20              , 136.63, 130.66, 129.84, 129.99, 148.91, 148.47, 149.3, 149.27, 150.23, 149.67, 171.37, 164.07, 167.25, 166.49, 162.7, 168.63, 148.91, 153.83, 157.05, 150.45
 398.40              , 128.96, 123.14, 122.32, 122.51, 141.34, 140.82, 141.35, 141.52, 142.55, 141.83, 163.26, 156.19, 159.53, 158.6, 155.0, 160.42, 141.14, 146.23, 149.14, 142.55
 448.60              , 122.75, 117.04, 116.16, 116.41, 135.28, 134.65, 134.98, 135.24, 136.33, 135.49, 156.66, 149.79, 153.32, 152.2, 148.78, 153.76, 134.87, 140.06, 142.68, 136.21
 498.80              , 117.61, 112.0, 111.02, 111.34, 130.32, 129.58, 129.78, 130.06, 131.17, 130.25, 151.18, 144.49, 148.22, 146.9, 143.65, 148.25, 129.71, 134.95, 137.31, 131.01
 549.00              , 113.3, 107.77, 106.66, 107.06, 126.19, 125.32, 125.47, 125.71, 126.82, 125.86, 146.54, 140.03, 143.93, 142.45, 139.34, 143.63, 125.4, 130.65, 132.76, 126.67
 599.20              , 109.64, 104.16, 102.93, 103.4, 122.69, 121.71, 121.85, 122.01, 123.1, 122.11, 142.55, 136.23, 140.27, 138.66, 135.68, 139.69, 121.75, 126.97, 128.87, 122.99
 649.40              , 106.49, 101.06, 99.7, 100.25, 119.69, 118.6, 118.75, 118.82, 119.87, 118.88, 139.07, 132.94, 137.1, 135.39, 132.51, 136.3, 118.62, 123.78, 125.49, 119.84
 699.60              , 103.74, 98.36, 96.88, 97.49, 117.09, 115.9, 116.08, 116.05, 117.04, 116.07, 136.02, 130.08, 134.33, 132.54, 129.75, 133.35, 115.91, 120.99, 122.53, 117.11
 749.80              , 101.33, 95.99, 94.41, 95.07, 114.8, 113.53, 113.75, 113.6, 114.53, 113.59, 133.3, 127.56, 131.87, 130.04, 127.32, 130.75, 113.54, 118.52, 119.92, 114.71
 800.00              , 99.19, 93.89, 92.21, 92.93, 112.77, 111.44, 111.69, 111.44, 112.3, 111.38, 130.88, 125.33, 129.67, 127.81, 125.15, 128.46, 111.45, 116.32, 117.59, 112.59
