# All mobility data calculated at Tbath = 298.0 K
E/N(Td) \ K0(cm^2/Vs) of, AMIFOSTINE_1, AMIFOSTINE_2, AMIFOSTINE_3, AMIFOSTINE_4, AZAMETHIPHOS_1, AZAMETHIPHOS_2, AZAMETHIPHOS_3, AZAMETHIPHOS_4, AZAMETHIPHOS_5, AZAMETHIPHOS_6, BENTHIAVALICARB_1, BENTHIAVALICARB_2, BENTHIAVALICARB_3, BENTHIAVALICARB_4, BENTHIAVALICARB_5, BENTHIAVALICARB_6, BROMCHLORBUTEROL_R_1, BROMCHLORBUTEROL_R_2, BROMCHLORBUTEROL_R_3, BROMCHLORBUTEROL_R_4
  0.00                  , 1.4725, 1.5367, 1.5469, 1.5451, 1.3309, 1.3346, 1.3241, 1.3274, 1.3195, 1.3229, 1.1602, 1.2114, 1.1899, 1.1946, 1.2218, 1.1773, 1.3302, 1.2921, 1.2650, 1.3156
 25.25                  , 1.4709, 1.5356, 1.5455, 1.5438, 1.3287, 1.3324, 1.3228, 1.3252, 1.3173, 1.3211, 1.1580, 1.2087, 1.1872, 1.1919, 1.2190, 1.1753, 1.3283, 1.2893, 1.2626, 1.3141
 50.50                  , 1.4692, 1.5345, 1.5441, 1.5424, 1.3265, 1.3302, 1.3216, 1.3230, 1.3151, 1.3192, 1.1557, 1.2061, 1.1844, 1.1892, 1.2163, 1.1734, 1.3263, 1.2865, 1.2601, 1.3126
 75.75                  , 1.4672, 1.5335, 1.5430, 1.5410, 1.3226, 1.3265, 1.3194, 1.3195, 1.3113, 1.3161, 1.1526, 1.2021, 1.1804, 1.1853, 1.2120, 1.1705, 1.3231, 1.2819, 1.2564, 1.3100
101.00                  , 1.4617, 1.5287, 1.5388, 1.5363, 1.3154, 1.3196, 1.3146, 1.3132, 1.3043, 1.3104, 1.1468, 1.1953, 1.1731, 1.1785, 1.2046, 1.1650, 1.3171, 1.2742, 1.2499, 1.3046
126.25                  , 1.4519, 1.5190, 1.5310, 1.5271, 1.3039, 1.3088, 1.3059, 1.3032, 1.2936, 1.3008, 1.1374, 1.1852, 1.1621, 1.1684, 1.1935, 1.1563, 1.3072, 1.2628, 1.2402, 1.2952
151.50                  , 1.4376, 1.5046, 1.5193, 1.5138, 1.2883, 1.2943, 1.2928, 1.2897, 1.2795, 1.2877, 1.1254, 1.1724, 1.1481, 1.1556, 1.1796, 1.1449, 1.2936, 1.2483, 1.2279, 1.2819
176.75                  , 1.4197, 1.4862,  , 1.4967, 1.2701, 1.2774, 1.2766, 1.2736, 1.2632, 1.2721, 1.1117, 1.1577, 1.1322, 1.1411, 1.1638, 1.1316, 1.2772, 1.2316, 1.2133, 1.2659
202.00                  ,  ,  ,  ,  , 1.2500, 1.2586, 1.2578, 1.2556, 1.2455, 1.2545, 1.0969, 1.1415, 1.1151, 1.1250, 1.1464, 1.1168, 1.2588, 1.2134, 1.1975, 1.2477
227.25                  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1.0814, 1.1245, 1.0971, 1.1080, 1.1282, 1.1010,  ,  ,  ,  
252.50                  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1.0656,  ,  ,  ,  ,  ,  ,  ,  ,  
