# WARNING: CCSs calculated at different Tbaths!
# WARNING: Teff grids not matching. Interpolation on a common range used! Teff values outside the common range will be assigned NaN
Teff(K) \ CCS(A^2) of, AMIFOSTINE_3_300K_HighField, AMIFOSTINE_3_350K_HighField, AMIFOSTINE_3_400K_HighField, AMIFOSTINE_3_450K_HighField, AZAMETHIPHOS_1_298K_HighField
 298.00              ,  ,  ,  ,  , 158.8
 325.36              , 133.84032727272728,  ,  ,  , 153.149350317202
 352.73              , 128.70327272727272, 127.48036363636363,  ,  , 148.2604872620985
 380.09              , 124.52210909090908, 123.37034545454544,  ,  , 143.96987473418395
 407.45              , 120.55414545454546, 119.47054545454546, 118.65098181818182,  , 140.19944199023482
 434.82              , 117.15558181818182, 116.13218181818182, 115.35092727272728,  , 136.84022320390608
 462.18              , 114.01770909090908, 113.0472, 112.30425454545454, 111.63130909090908, 133.84982130401568
 489.55              , 111.20472727272727, 110.278, 109.57336363636364, 108.93872727272728, 131.1604467399608
 516.91              , 108.66905454545454, 107.7861090909091, 107.1164, 106.51669090909091, 128.73008074162678
 544.27              , 106.30483636363637, 105.46567272727273, 104.8288, 104.26192727272728, 126.51979971435215
 571.64              , 104.22189090909092, 103.42218181818181, 102.80949090909091, 102.27112727272728, 124.51026704753048
 599.00              , 102.21340000000001, 101.452, 100.86120000000001, 100.3502, 122.66
 626.36              , 100.47381818181819, 99.74545454545455, 99.18181818181819, 98.69818181818182, 120.95979273923007
 653.73              , 98.77574545454546, 98.07947272727273, 97.54245454545455, 97.08543636363636, 119.40015544557744
 681.09              , 97.27621818181818, 96.6073090909091, 96.09218181818183, 95.65705454545456, 117.94995514354068
 708.45              , 95.83587272727272, 95.19263636363637, 94.69770909090909, 94.28278181818182, 116.59979074633806
 735.82              , 94.5278909090909, 93.90654545454545, 93.42803636363637, 93.02952727272728, 115.34008370146478
 763.18              , 93.2910909090909, 92.69163636363636, 92.23218181818181, 91.85009090909091, 114.16992692729265
 790.55              , 92.13087272727273, 91.5533090909091, 91.11574545454546, 90.75007272727274, 113.07018268176836
 817.91              , 91.05303636363637, 90.49736363636363, 90.0781090909091, 89.72885454545455, 112.03003455608719
 845.27              , 90.0186909090909, 89.4849090909091, 89.08207272727273, 88.74923636363636, 111.05990832696715
 872.64              , 89.07941818181818, 88.563, 88.17205454545454, 87.85110909090909, 110.14012223071046
 900.00              , 88.16, 87.66, 87.28, 86.97, 109.28
