# WARNING: mobility data calculated at different Tbaths!
E/N(Td) \ K0(cm^2/Vs) of, AMIFOSTINE_3_300K_HighField, AMIFOSTINE_3_350K_HighField, AMIFOSTINE_3_400K_HighField, AMIFOSTINE_3_450K_HighField, AZAMETHIPHOS_1_298K_HighField
  0.00                  , 1.5477, 1.554, 1.555, 1.5534, 1.3295
 11.10                  , 1.547678261063129, 1.553803734436128, 1.5546075459903554, 1.5527908324570938, 1.3285932406222918
 22.20                  , 1.5476565221262577, 1.5536074688722556, 1.5542150919807107, 1.552181664914188, 1.3276864812445839
 33.29                  , 1.5476347831893866, 1.5534112033083836, 1.5538226379710662, 1.551572497371282, 1.3267797218668758
 44.39                  , 1.5476130442525153, 1.5532149377445112, 1.5534301839614215, 1.5509633298283758, 1.3258717925122294
 55.49                  , 1.5479284837271887, 1.5532275627285335, 1.5531154558016833, 1.5503126447796016, 1.324925795515087
 66.59                  , 1.5487497771423766, 1.5535354053713277, 1.5529109836271513, 1.549600599950004, 1.3236896226995754
 77.68                  , 1.5491409759751724, 1.5532759690749134, 1.5521191126551395, 1.5482719293163383, 1.3218789278849576
 88.78                  , 1.5490103376317619, 1.552364718741669, 1.5506299193805029, 1.5461501158748552, 1.319097978215989
 99.88                  , 1.5477494777825844, 1.5502771527863206, 1.5478468618352768, 1.5427715167655247, 1.3154862021427445
110.98                  , 1.5457118755118755, 1.5473243441122635, 1.5442094607315762, 1.5385171946908556, 1.311149319033027
122.08                  , 1.542713559322034, 1.5434020833333333, 1.5396016295707473, 1.5333143307086614, 1.305880069582505
133.17                  , 1.538651888111888, 1.5384590755007705, 1.5339906114037096, 1.527218847375586, 1.2999357997823722
144.27                  , 1.5335880641233766, 1.5324565907077865, 1.5274329754968472, 1.5202286612864941, 1.2932044380816035
155.37                  , 1.5275405555555555, 1.525596293513649, 1.5200201937406854, 1.5123794819247478, 1.2859419150953335
166.47                  , 1.5205529564990883, 1.5178198217975207, 1.5117606344874637,  , 1.2781307426224193
177.56                  , 1.5127009794319295, 1.5093298499558694,  ,  , 1.2698664335664336
188.66                  , 1.5040900756057571,  ,  ,  , 1.26119777892562
199.76                  ,  ,  ,  ,  , 1.2522644176136364
210.86                  ,  ,  ,  ,  , 1.2431235896514552
221.95                  ,  ,  ,  ,  , 1.2338307561597281
233.05                  ,  ,  ,  ,  , 1.2243767958880358
244.15                  ,  ,  ,  ,  , 1.2149
