# All mobility data calculated at Tbath = 298.0 K
filename            , K0 [cm2/Vs],  errK0 [cm2/Vs]
AMIFOSTINE_1        ,   1.4821   ,      0.0147
AMIFOSTINE_2        ,   1.5204   ,      0.0157
AMIFOSTINE_3        ,   1.5477   ,      0.0159
AMIFOSTINE_4        ,   1.5508   ,      0.0158
AZAMETHIPHOS_1      ,   1.3236   ,      0.0139
AZAMETHIPHOS_2      ,   1.3233   ,      0.0136
AZAMETHIPHOS_3      ,   1.3201   ,      0.0124
AZAMETHIPHOS_4      ,   1.3209   ,      0.0125
AZAMETHIPHOS_5      ,   1.3231   ,      0.0123
AZAMETHIPHOS_6      ,   1.3377   ,      0.0124
BENTHIAVALICARB_1   ,   1.1549   ,      0.0105
BENTHIAVALICARB_2   ,   1.2204   ,      0.0115
BENTHIAVALICARB_3   ,   1.1776   ,      0.0114
BENTHIAVALICARB_4   ,   1.1834   ,      0.0120
BENTHIAVALICARB_5   ,   1.2288   ,      0.0122
BENTHIAVALICARB_6   ,   1.1618   ,      0.0109
BROMCHLORBUTEROL_R_1,   1.3248   ,      0.0150
BROMCHLORBUTEROL_R_2,   1.2769   ,      0.0149
BROMCHLORBUTEROL_R_3,   1.2704   ,      0.0156
BROMCHLORBUTEROL_R_4,   1.3254   ,      0.0144
