g [m/s],  Q(1) [A**2],  errQ(1) [A**2],  Q(2) [A**2],  errQ(2) [A**2],  Q(3) [A**2],  errQ(3) [A**2] 
 131.3,     622.86,         47.42,         717.00,         54.40,         703.15,         47.71
 158.8,     514.21,         37.53,         587.37,         30.84,         569.83,         33.16
 186.4,     446.72,         28.92,         502.28,         28.92,         503.65,         26.12
 213.9,     388.71,         36.07,         442.24,         29.38,         440.69,         34.33
 241.5,     368.93,         25.57,         418.79,         28.01,         416.26,         26.44
 269.0,     314.67,         26.01,         361.71,         19.90,         359.85,         23.97
 296.6,     294.98,         26.24,         327.50,         16.79,         332.74,         24.15
 324.1,     271.67,         13.59,         309.12,         12.83,         306.64,         10.47
 351.7,     264.28,         16.81,         297.16,         14.98,         300.04,         15.19
 379.2,     228.91,         12.63,         254.05,         16.55,         259.58,         15.39
 406.8,     218.17,         11.43,         261.91,         11.40,         251.56,         11.11
 434.3,     211.22,         12.42,         241.56,         11.72,         239.39,         10.27
 461.8,     206.69,         12.80,         237.19,         13.15,         235.86,         13.41
 489.4,     192.04,         12.28,         217.09,          9.25,         218.24,         11.81
 516.9,     184.61,         15.10,         210.42,          7.36,         210.92,         11.35
 544.5,     169.82,         11.43,         203.28,         12.45,         196.41,         10.56
 572.0,     161.16,         11.03,         191.39,         11.49,         187.24,          9.86
 599.6,     156.23,         10.36,         187.75,         17.28,         181.22,         10.73
 627.1,     151.38,         12.13,         180.91,          8.09,         177.19,         10.15
 654.7,     146.35,          8.99,         175.99,         11.14,         169.26,          8.47
 682.2,     140.81,         10.85,         170.37,          7.65,         165.15,          9.13
 709.8,     131.91,          5.06,         164.81,          9.43,         156.38,          6.60
 737.3,     128.11,          8.47,         154.25,          9.66,         151.01,          7.42
 764.9,     123.40,         10.04,         151.68,          8.76,         146.98,         10.07
 792.4,     116.50,          5.82,         146.55,          8.15,         139.86,          7.04
 819.9,     115.53,          6.34,         145.29,          5.76,         137.95,          6.55
 847.5,     112.22,         10.15,         134.00,          7.71,         133.94,          9.60
 875.0,     109.17,         10.65,         133.41,         10.44,         130.25,          9.63
 902.6,     106.15,          9.83,         128.99,          9.51,         127.33,          9.54
 930.1,      96.28,          7.62,         120.68,          6.63,         115.94,          6.81
 957.7,      98.28,          7.33,         120.34,          9.05,         118.27,          8.17
 985.2,      96.52,          6.49,         113.95,          4.89,         114.47,          6.60
1012.8,      86.99,          4.97,         107.07,          4.97,         105.35,          4.68
1040.3,      97.40,          5.59,         115.60,          5.03,         114.37,          3.69
1067.8,      89.77,          4.63,         107.72,          4.31,         106.80,          4.92
1095.4,      91.57,          9.22,         107.57,          9.72,         106.40,          9.43
1123.0,      85.41,          4.92,         102.15,          4.31,         100.43,          5.06
1150.5,      86.47,          4.54,          99.75,          6.92,         101.38,          4.42
1178.0,      88.27,          8.81,          97.80,          7.39,         100.86,          8.90
1205.6,      80.34,          5.91,          94.19,          6.34,          93.88,          6.89
1233.1,      78.41,          6.55,          89.63,          5.67,          90.84,          6.11
1260.7,      75.96,          5.99,          89.48,          5.15,          88.87,          4.45
1288.3,      84.03,          6.05,          94.83,          4.42,          94.96,          5.15
1315.7,      81.91,          4.77,          88.90,          3.17,          92.60,          4.71
1343.3,      81.53,          6.25,          87.11,          5.82,          91.16,          6.23
1370.9,      77.31,          8.61,          85.26,          7.56,          87.17,          8.70
1398.4,      72.73,          3.75,          82.42,          4.13,          82.70,          3.69
1426.0,      76.61,          7.33,          83.40,          5.38,          85.58,          5.56
1453.5,      76.79,          6.52,          82.87,          7.21,          85.05,          6.28
1481.0,      76.73,          4.77,          80.10,          5.61,          83.86,          4.33
1508.6,      71.48,          5.06,          79.25,          6.66,          79.75,          4.92
1536.1,      77.02,          7.65,          81.65,          6.02,          83.75,          6.40
1563.7,      71.28,          5.50,          77.67,          5.32,          79.47,          4.95
1591.2,      77.31,          5.96,          77.84,          5.09,          83.42,          5.73
1618.7,      72.04,          6.84,          75.11,          6.25,          79.42,          6.57
1646.3,      75.37,          7.83,          77.68,          3.90,          82.02,          6.02
1673.9,      71.23,          3.72,          75.39,          5.09,          78.49,          3.75
1701.4,      72.53,          5.53,          74.94,          6.40,          77.77,          5.15
1728.9,      69.22,          5.41,          73.31,          5.38,          75.01,          5.70
1756.5,      71.80,          3.03,          72.88,          2.53,          76.83,          3.08
1784.0,      69.16,          6.31,          73.24,          5.09,          74.51,          5.44
1811.6,      70.55,          6.40,          73.09,          5.70,          75.39,          5.29
1839.2,      70.25,          6.43,          72.69,          4.42,          75.45,          5.41
1866.6,      69.37,          5.27,          71.63,          4.07,          74.52,          5.12
1894.2,      70.67,          5.32,          73.81,          4.57,          75.62,          4.97
1921.8,      66.61,          4.86,          70.22,          3.78,          72.69,          4.68
1949.3,      67.18,          6.28,          69.37,          5.76,          72.01,          6.11
1976.9,      69.25,          4.48,          71.40,          4.71,          73.74,          4.65
2004.5,      67.95,          5.70,          71.80,          4.63,          73.02,          5.27
2031.9,      64.65,          2.91,          67.76,          2.70,          69.82,          2.88
2059.5,      65.86,          4.68,          69.31,          3.58,          70.73,          3.90
2087.1,      66.92,          4.07,          67.91,          4.48,          71.12,          3.37
2114.6,      66.42,          6.17,          67.34,          5.64,          70.23,          6.31
2142.2,      63.39,          5.15,          68.06,          2.16,          69.13,          4.10
2169.6,      65.41,          4.42,          67.79,          3.40,          69.95,          4.19
2197.2,      64.75,          4.74,          66.20,          3.49,          68.28,          4.48
2224.8,      66.44,          4.19,          66.87,          3.26,          69.78,          3.93
2252.3,      63.20,          3.46,          66.06,          4.42,          67.25,          3.14
2279.9,      63.18,          5.76,          63.73,          5.73,          66.69,          5.24
2307.4,      65.69,          5.64,          66.16,          4.77,          69.30,          4.63
2334.9,      66.47,          3.11,          65.76,          5.29,          69.53,          3.52
2362.5,      65.23,          5.73,          66.54,          4.04,          69.15,          4.68
2390.1,      65.18,          6.34,          67.44,          3.23,          69.53,          5.12
2417.6,      62.59,          4.95,          64.16,          3.84,          65.96,          4.54
2445.1,      62.51,          3.17,          65.16,          2.32,          66.35,          2.30
2472.7,      63.43,          3.40,          62.68,          3.49,          66.82,          2.97
2500.2,      60.63,          2.73,          62.91,          2.49,          64.53,          2.77
2527.8,      62.62,          2.02,          64.63,          3.08,          66.02,          2.14
2555.4,      61.19,          4.57,          64.47,          4.25,          65.02,          3.52
2582.8,      62.54,          4.71,          62.14,          3.08,          65.64,          3.78
