g [m/s],  Q(1) [A**2],  errQ(1) [A**2],  Q(2) [A**2],  errQ(2) [A**2],  Q(3) [A**2],  errQ(3) [A**2] 
 131.3,     622.86,         47.42,         717.00,         54.40,         703.15,         47.71
 147.6,     547.81,         45.09,         621.26,         32.87,         607.27,         39.27
 164.0,     512.20,         32.58,         580.30,         35.78,         570.79,         30.84
 180.3,     461.58,         43.35,         519.15,         26.44,         516.42,         40.15
 196.6,     439.21,         29.96,         512.29,         34.62,         493.32,         30.25
 213.0,     386.38,         26.97,         435.92,         21.93,         441.19,         25.19
 229.3,     370.35,         26.41,         419.25,         28.22,         416.20,         24.64
 245.7,     352.32,         15.24,         398.48,         16.26,         395.95,         11.20
 262.0,     339.69,         19.26,         379.46,         17.80,         385.57,         17.05
 278.3,     300.56,         26.21,         342.16,         18.71,         340.36,         22.72
 294.7,     291.43,         14.08,         334.69,         15.16,         334.31,         14.81
 311.0,     288.46,         13.15,         332.13,         13.32,         325.12,         13.64
 327.3,     278.50,         11.78,         321.42,         18.24,         314.56,         15.33
 343.7,     260.68,         19.20,         294.63,         19.52,         293.23,         16.76
 360.0,     252.06,         19.40,         290.19,         11.20,         286.90,         16.58
 376.4,     238.51,         14.20,         274.30,         14.11,         271.99,         13.79
 392.7,     225.47,         13.91,         259.49,         13.56,         260.08,         13.59
 409.0,     222.55,         18.30,         256.82,         21.93,         253.66,         16.84
 425.4,     214.33,         17.51,         246.82,         11.26,         245.44,         15.62
 441.7,     210.78,         11.29,         241.95,         12.68,         240.73,         11.67
 458.0,     202.89,         17.40,         231.33,         13.79,         232.50,         16.38
 474.4,     193.66,         13.93,         224.54,         11.78,         222.60,         13.99
 490.7,     191.01,         10.53,         213.35,          9.92,         217.46,          9.95
 507.0,     182.53,         11.14,         212.46,         12.51,         211.05,         11.08
 523.4,     174.42,         14.37,         206.29,         15.21,         202.25,         13.67
 539.7,     170.51,          9.77,         204.20,         10.71,         198.64,          9.11
 556.1,     170.10,         14.63,         195.88,         12.63,         194.74,         12.48
 572.4,     165.66,         11.14,         194.98,          8.49,         190.82,          9.60
 588.7,     165.03,         14.49,         194.01,         12.28,         190.61,         13.06
 605.1,     146.81,         11.90,         180.69,         11.32,         171.92,         10.94
 621.4,     154.51,         11.67,         181.67,         11.23,         178.40,         12.19
 637.8,     151.14,         11.37,         178.20,         10.07,         174.62,         10.47
 654.1,     133.58,          7.24,         165.57,          6.92,         158.73,          6.14
 670.4,     145.65,          8.58,         179.86,          8.32,         169.77,          6.55
 686.8,     137.57,          9.75,         166.09,          8.67,         162.39,          9.11
 703.1,     134.25,         12.01,         166.42,         13.76,         158.68,         11.96
 719.4,     125.41,          9.80,         157.79,          9.92,         149.88,          9.57
 735.8,     130.17,          6.17,         158.38,          8.79,         153.65,          6.02
 752.1,     128.57,         10.97,         155.79,         11.78,         151.96,         11.49
 768.4,     116.38,          7.94,         147.00,          8.79,         140.16,          9.05
 784.8,     116.57,          9.57,         148.24,          9.72,         140.95,          8.76
 801.1,     109.42,          6.02,         139.47,          6.72,         133.19,          5.50
 817.5,     117.92,          7.83,         148.73,          6.55,         141.23,          5.41
 833.8,     115.74,          6.72,         141.57,          4.80,         139.01,          5.96
 850.1,     114.34,          7.16,         137.22,          8.41,         135.25,          8.12
 866.5,     107.59,          9.60,         134.21,          7.88,         129.80,          9.16
 882.8,     102.82,          4.28,         130.64,          5.03,         125.06,          3.87
 899.1,     105.53,          8.81,         131.76,          8.12,         126.37,          7.59
 915.5,     104.31,          9.60,         126.52,          9.98,         123.82,          9.22
 931.8,     103.84,          7.19,         124.15,          8.15,         123.03,          6.37
 948.2,      96.04,          6.28,         121.49,          5.67,         116.85,          6.02
 964.5,     101.68,          9.51,         123.00,          7.97,         120.25,          8.47
 980.8,      94.55,          6.98,         115.29,          6.40,         114.51,          6.46
 997.2,     101.00,          8.20,         117.16,          8.06,         118.51,          8.12
1013.5,      93.32,          9.31,         111.60,          7.80,         111.18,          9.13
1029.8,      97.73,         10.56,         114.18,          5.61,         115.52,          7.97
1046.2,      91.71,          4.97,         107.52,          8.81,         109.31,          5.93
1062.5,      93.76,          7.62,         108.20,          7.21,         108.90,          6.84
1078.8,      89.10,          6.63,         105.58,          7.80,         104.70,          7.65
1095.2,      90.97,          4.57,         104.51,          4.77,         106.08,          4.92
1111.5,      86.93,          8.67,         103.56,          6.78,         101.76,          7.71
1127.9,      88.04,          8.17,         103.94,          7.59,         103.27,          6.98
1144.2,      87.18,          7.56,         101.00,          4.39,         102.28,          6.40
1160.6,      85.76,          5.35,          98.19,          5.24,         100.34,          5.61
1176.9,      87.16,          5.93,         100.15,          6.84,         100.50,          6.14
1193.3,      82.73,          6.81,          94.78,          5.06,          96.87,          6.55
1209.6,      82.70,          7.24,          95.15,          7.65,          95.94,          7.77
1225.9,      85.62,          6.20,          95.48,          5.18,          97.02,          6.14
1242.2,      83.53,          7.39,          95.58,          5.24,          95.85,          6.87
1258.5,      79.90,          3.35,          88.91,          4.01,          91.26,          3.20
1274.9,      80.13,          6.20,          92.27,          4.28,          92.39,          4.95
1291.2,      80.56,          5.15,          88.01,          4.97,          91.86,          4.22
1307.6,      81.33,          7.13,          89.57,          6.98,          91.65,          7.19
1323.9,      76.40,          7.65,          87.22,          4.86,          87.89,          6.81
1340.3,      78.67,          6.05,          87.39,          5.27,          89.41,          5.47
1356.6,      78.54,          5.79,          85.31,          4.60,          87.62,          5.50
1372.9,      79.62,          4.22,          87.52,          4.28,          88.91,          4.39
1389.3,      76.30,          5.21,          85.87,          6.02,          85.71,          4.63
1405.6,      76.72,          7.42,          81.93,          7.19,          84.62,          6.05
1422.0,      78.73,          7.65,          85.19,          5.24,          87.60,          6.43
1438.3,      79.88,          3.37,          84.85,          5.79,          87.71,          3.55
1454.7,      78.44,          7.62,          84.08,          5.21,          87.59,          5.91
1470.9,      76.80,          7.85,          83.84,          4.07,          85.45,          6.37
1487.2,      74.24,          5.67,          80.92,          5.09,          81.94,          4.77
1503.6,      74.54,          4.16,          81.54,          3.61,          83.01,          3.14
1519.9,      76.30,          4.63,          78.98,          4.39,          83.23,          3.40
1536.3,      72.03,          3.08,          79.02,          2.48,          80.01,          2.94
1552.6,      73.91,          2.28,          80.83,          4.16,          81.38,          1.97
1569.0,      71.76,          6.20,          79.36,          5.44,          79.70,          4.97
1585.3,      73.58,          6.20,          77.47,          4.16,          80.03,          4.92
1601.7,      73.84,          4.04,          77.22,          3.81,          81.49,          4.16
1618.0,      69.62,          5.93,          75.39,          5.64,          76.33,          5.18
1634.4,      72.30,          6.11,          76.35,          5.38,          79.65,          4.77
1650.7,      73.74,          7.30,          78.49,          5.56,          79.65,          6.92
1667.0,      71.87,          5.99,          76.61,          4.86,          78.84,          4.60
1683.4,      72.78,          6.34,          77.15,          3.72,          79.06,          5.91
1699.6,      71.94,          3.75,          77.19,          4.97,          78.70,          3.55
1716.0,      69.72,          3.03,          71.59,          2.80,          75.18,          2.64
1732.3,      70.29,          4.45,          75.78,          4.97,          77.02,          4.28
1748.7,      72.35,          4.80,          74.39,          3.23,          77.40,          3.58
1765.0,      72.53,          5.56,          75.92,          3.93,          77.17,          4.86
1781.3,      69.39,          3.46,          72.03,          1.97,          74.75,          2.85
1797.7,      69.63,          5.32,          72.10,          4.19,          75.25,          5.00
1814.0,      70.02,          6.20,          70.28,          4.77,          74.41,          4.80
